Date,Rate
2020-04-16,217.837
2020-04-17,217.24
2020-04-18,217.816
2020-04-19,217.816
2020-04-20,217.553
2020-04-21,217.794
2020-04-22,217.786
2020-04-23,217.864
2020-04-24,218.258
2020-04-25,218.749
2020-04-26,218.749
2020-04-27,218.688
2020-04-28,218.617
2020-04-29,219.636
2020-04-30,219.753
2020-05-01,218.381
2020-05-02,219.147
2020-05-03,219.147
2020-05-04,219.475
2020-05-05,219.748
2020-05-06,220.018
2020-05-07,220.58
2020-05-08,220.256
2020-05-09,219.177
2020-05-10,219.177
2020-05-11,218.644
2020-05-12,216.821
2020-05-13,217.789
2020-05-14,218.354
2020-05-15,217.715
2020-05-16,218.111
2020-05-17,218.111
2020-05-18,217.877
2020-05-19,217.344
2020-05-20,216.091
2020-05-21,216.297
2020-05-22,216.263
2020-05-23,216.199
2020-05-24,216.199
2020-05-25,215.978
2020-05-26,216.493
2020-05-27,216.988
2020-05-28,216.377
2020-05-29,216.545
2020-05-30,215.959
2020-05-31,215.959
2020-06-01,216.14
2020-06-02,216.308
2020-06-03,213.705
2020-06-04,213.413
2020-06-05,213.161
2020-06-06,212.246
2020-06-07,212.246
2020-06-08,212.139
2020-06-09,214.523
2020-06-10,215.293
2020-06-11,216.853
2020-06-12,217.373
2020-06-13,216.13
2020-06-14,216.13
2020-06-15,216.271
2020-06-16,216.053
2020-06-17,216.144
2020-06-18,217.042
2020-06-19,216.914
2020-06-20,217.243
2020-06-21,217.243
2020-06-22,217.345
2020-06-23,217.132
2020-06-24,218.115
2020-06-25,216.778
2020-06-26,216.573
2020-06-27,216.48
2020-06-28,216.48
2020-06-29,216.49
2020-06-30,215.638
2020-07-01,214.876
2020-07-02,216.102
2020-07-03,215.852
2020-07-04,215.803
2020-07-05,215.803
2020-07-06,215.653
2020-07-07,216.119
2020-07-08,215.674
2020-07-09,216.144
2020-07-10,216.212
2020-07-11,216.827
2020-07-12,216.827
2020-07-13,216.817
2020-07-14,216.08
2020-07-15,216.159
2020-07-16,216.865
2020-07-17,216.107
2020-07-18,216.667
2020-07-19,216.667
2020-07-20,216.555
2020-07-21,216.346
2020-07-22,216.984
2020-07-23,216.328
2020-07-24,216.959
2020-07-25,218.36
2020-07-26,218.36
2020-07-27,218.69
2020-07-28,220.199
2020-07-29,220.52
2020-07-30,220.667
2020-07-31,221.381
2020-08-01,218.917
2020-08-02,218.917
2020-08-03,218.979
2020-08-04,218.594
2020-08-05,219.443
2020-08-06,219.554
2020-08-07,219.482
2020-08-08,218.801
2020-08-09,218.801
2020-08-10,218.925
2020-08-11,218.666
2020-08-12,217.555
2020-08-13,216.933
2020-08-14,216.594
2020-08-15,217.407
2020-08-16,217.407
2020-08-17,217.489
2020-08-18,218.617
2020-08-19,220.263
2020-08-20,218.436
2020-08-21,219.32
2020-08-22,219.044
2020-08-23,219.044
2020-08-24,218.879
2020-08-25,218.675
2020-08-26,217.773
2020-08-27,218.89
2020-08-28,217.31
2020-08-29,219.971
2020-08-30,219.971
2020-08-31,219.616
2020-09-01,218.622
2020-09-02,218.844
2020-09-03,218.205
2020-09-04,218.432
2020-09-05,218.175
2020-09-06,218.175
2020-09-07,218.021
2020-09-08,218.005
2020-09-09,218.703
2020-09-10,218.158
2020-09-11,218.362
2020-09-12,218.281
2020-09-13,218.281
2020-09-14,218.322
2020-09-15,219.226
2020-09-16,219.907
2020-09-17,220.625
2020-09-18,221.384
2020-09-19,221.68
2020-09-20,221.68
2020-09-21,221.733
2020-09-22,221.395
2020-09-23,220.679
2020-09-24,220.159
2020-09-25,219.908
2020-09-26,219.704
2020-09-27,219.704
2020-09-28,219.662
2020-09-29,219.936
2020-09-30,219.456
2020-10-01,219.849
2020-10-02,219.697
2020-10-03,220.111
2020-10-04,220.111
2020-10-05,219.809
2020-10-06,219.496
2020-10-07,219.674
2020-10-08,218.971
2020-10-09,218.741
2020-10-10,219.524
2020-10-11,219.524
2020-10-12,219.472
2020-10-13,220.035
2020-10-14,219.765
2020-10-15,220.424
2020-10-16,220.018
2020-10-17,219.885
2020-10-18,219.885
2020-10-19,219.833
2020-10-20,219.76
2020-10-21,219.753
2020-10-22,221.407
2020-10-23,220.933
2020-10-24,221.376
2020-10-25,221.376
2020-10-26,221.345
2020-10-27,221.076
2020-10-28,221.668
2020-10-29,222.157
2020-10-30,221.712
2020-10-31,221.471
2020-11-01,221.471
2020-11-02,221.662
2020-11-03,221.318
2020-11-04,221.678
2020-11-05,221.954
2020-11-06,223.674
2020-11-07,224.22
2020-11-08,224.22
2020-11-09,224.459
2020-11-10,220.478
2020-11-11,220.159
2020-11-12,219.871
2020-11-13,220.52
2020-11-14,221.536
2020-11-15,221.536
2020-11-16,221.43
2020-11-17,221.701
2020-11-18,222.335
2020-11-19,222.965
2020-11-20,223.258
2020-11-21,223.167
2020-11-22,223.167
2020-11-23,223.253
2020-11-24,221.73
2020-11-25,221.518
2020-11-26,221.876
2020-11-27,222.196
2020-11-28,222.525
2020-11-29,222.525
2020-11-30,222.525
2020-12-01,221.873
2020-12-02,221.754
2020-12-03,221.414
2020-12-04,222.827
2020-12-05,222.019
2020-12-06,222.019
2020-12-07,221.976
2020-12-08,222.358
2020-12-09,222.08
2020-12-10,221.808
2020-12-11,221.993
2020-12-12,222.341
2020-12-13,222.341
2020-12-14,222.491
2020-12-15,222.343
2020-12-16,223.143
2020-12-17,223.498
2020-12-18,224.247
2020-12-19,223.852
2020-12-20,223.852
2020-12-21,223.484
2020-12-22,223.835
2020-12-23,223.411
2020-12-24,223.441
2020-12-25,223.192
2020-12-26,223.528
2020-12-27,223.528
2020-12-28,223.441
2020-12-29,223.106
2020-12-30,223.297
2020-12-31,223.893
2021-01-01,223.633
2021-01-02,223.633
2021-01-03,223.633
2021-01-04,223.546
2021-01-05,223.784
2021-01-06,224.862
2021-01-07,224.134
2021-01-08,222.352
2021-01-09,221.888
2021-01-10,221.888
2021-01-11,221.6
2021-01-12,221.422
2021-01-13,222.328
2021-01-14,222.126
2021-01-15,222.148
2021-01-16,222.055
2021-01-17,222.055
2021-01-18,221.959
2021-01-19,222.643
2021-01-20,222.035
2021-01-21,222.809
2021-01-22,222.866
2021-01-23,222.322
2021-01-24,222.322
2021-01-25,222.301
2021-01-26,222.319
2021-01-27,222.673
2021-01-28,221.497
2021-01-29,221.099
2021-01-30,220.112
2021-01-31,220.112
2021-02-01,220.112
2021-02-02,219.741
2021-02-03,219.246
2021-02-04,219.263
2021-02-05,218.091
2021-02-06,218.384
2021-02-07,218.384
2021-02-08,218.301
2021-02-09,218.481
2021-02-10,220.06
2021-02-11,219.976
2021-02-12,219.724
2021-02-13,219.347
2021-02-14,219.347
2021-02-15,219.055
2021-02-16,218.41
2021-02-17,216.867
2021-02-18,217.39
2021-02-19,217.846
2021-02-20,218.354
2021-02-21,218.354
2021-02-22,218.168
