Date,Rate
2025-04-16,143.205
2025-04-17,141.9
2025-04-18,142.34
2025-04-19,142.165
2025-04-20,142.165
2025-04-21,141.625
2025-04-22,140.855
2025-04-23,142.705
2025-04-24,143.2
2025-04-25,142.875
2025-04-26,143.675
2025-04-27,143.675
2025-04-28,143.855
2025-04-29,142.185
2025-04-30,142.315
2025-05-01,143.035
2025-05-02,145.43
2025-05-03,144.98
2025-05-04,144.98
2025-05-05,144.655
2025-05-06,143.685
2025-05-07,143.1
2025-05-08,143.835
2025-05-09,146.005
2025-05-10,145.375
2025-05-11,145.375
2025-05-12,145.865
2025-05-13,148.285
2025-05-14,147.515
2025-05-15,146.625
2025-05-16,145.58
2025-05-17,145.65
2025-05-18,145.65
2025-05-19,145.28
2025-05-20,145.005
