Date,Rate
2020-05-07,106.195
2020-05-08,106.365
2020-05-09,106.665
2020-05-10,106.665
2020-05-11,106.925
2020-05-12,107.575
2020-05-13,107.145
2020-05-14,106.925
2020-05-15,107.365
2020-05-16,107.09
2020-05-17,107.09
2020-05-18,107.205
2020-05-19,107.385
2020-05-20,107.825
2020-05-21,107.595
2020-05-22,107.635
2020-05-23,107.63
2020-05-24,107.63
2020-05-25,107.74
2020-05-26,107.685
2020-05-27,107.49
2020-05-28,107.805
2020-05-29,107.645
2020-05-30,107.805
2020-05-31,107.805
2020-06-01,107.715
2020-06-02,107.555
2020-06-03,108.825
2020-06-04,109.0
2020-06-05,109.145
2020-06-06,109.59
2020-06-07,109.59
2020-06-08,109.645
2020-06-09,108.415
2020-06-10,107.795
2020-06-11,106.985
2020-06-12,106.805
2020-06-13,107.375
2020-06-14,107.375
2020-06-15,107.305
2020-06-16,107.485
2020-06-17,107.405
2020-06-18,106.88
2020-06-19,107.015
2020-06-20,106.885
2020-06-21,106.885
2020-06-22,106.835
2020-06-23,106.905
2020-06-24,106.43
2020-06-25,107.045
2020-06-26,107.165
2020-06-27,107.22
2020-06-28,107.22
2020-06-29,107.215
2020-06-30,107.59
2020-07-01,107.995
2020-07-02,107.375
2020-07-03,107.495
2020-07-04,107.51
2020-07-05,107.51
2020-07-06,107.585
2020-07-07,107.36
2020-07-08,107.57
2020-07-09,107.285
2020-07-10,107.235
2020-07-11,106.91
2020-07-12,106.91
2020-07-13,106.915
2020-07-14,107.275
2020-07-15,107.245
2020-07-16,106.905
2020-07-17,107.285
2020-07-18,107.04
2020-07-19,107.04
2020-07-20,107.095
2020-07-21,107.185
2020-07-22,106.835
2020-07-23,107.175
2020-07-24,106.845
2020-07-25,106.155
2020-07-26,106.155
2020-07-27,105.995
2020-07-28,105.275
2020-07-29,105.115
2020-07-30,105.045
2020-07-31,104.695
2020-08-01,105.885
2020-08-02,105.885
2020-08-03,105.855
2020-08-04,106.03
2020-08-05,105.615
2020-08-06,105.555
2020-08-07,105.585
2020-08-08,105.925
2020-08-09,105.925
2020-08-10,105.865
2020-08-11,105.995
2020-08-12,106.525
2020-08-13,106.835
2020-08-14,106.995
2020-08-15,106.595
2020-08-16,106.595
2020-08-17,106.555
2020-08-18,106.005
2020-08-19,105.215
2020-08-20,106.095
2020-08-21,105.665
2020-08-22,105.805
2020-08-23,105.805
2020-08-24,105.885
2020-08-25,105.995
2020-08-26,106.4
2020-08-27,105.875
2020-08-28,106.645
2020-08-29,105.355
2020-08-30,105.355
2020-08-31,105.525
2020-09-01,106.005
2020-09-02,105.895
2020-09-03,106.205
2020-09-04,106.095
2020-09-05,106.245
2020-09-06,106.245
2020-09-07,106.32
2020-09-08,106.305
2020-09-09,105.975
2020-09-10,106.235
2020-09-11,106.145
2020-09-12,106.175
2020-09-13,106.175
2020-09-14,106.155
2020-09-15,105.715
2020-09-16,105.39
2020-09-17,105.065
2020-09-18,104.705
2020-09-19,104.565
2020-09-20,104.565
2020-09-21,104.54
2020-09-22,104.695
2020-09-23,105.035
2020-09-24,105.315
2020-09-25,105.435
2020-09-26,105.565
2020-09-27,105.565
2020-09-28,105.585
2020-09-29,105.435
2020-09-30,105.675
2020-10-01,105.445
2020-10-02,105.55
2020-10-03,105.365
2020-10-04,105.365
2020-10-05,105.51
2020-10-06,105.715
2020-10-07,105.645
2020-10-08,105.975
2020-10-09,106.025
2020-10-10,105.615
2020-10-11,105.615
2020-10-12,105.64
2020-10-13,105.34
2020-10-14,105.465
2020-10-15,105.145
2020-10-16,105.355
2020-10-17,105.405
2020-10-18,105.405
2020-10-19,105.43
2020-10-20,105.465
2020-10-21,105.48
2020-10-22,104.685
