Date,Rate
2025-04-16,25846.8
2025-04-17,25843.5
2025-04-18,25873.8
2025-04-19,25925.5
2025-04-20,25925.5
2025-04-21,25917.1
2025-04-22,25894.2
2025-04-23,25957.9
2025-04-24,25981.1
2025-04-25,26027.5
2025-04-26,26021.5
2025-04-27,26021.5
2025-04-28,26031.3
2025-04-29,26001.8
2025-04-30,25996.7
2025-05-01,25996.0
2025-05-02,25994.9
2025-05-03,25961.8
2025-05-04,25961.8
2025-05-05,25994.9
2025-05-06,25961.8
2025-05-07,25970.5
2025-05-08,25961.8
2025-05-09,25966.5
2025-05-10,25974.7
2025-05-11,25974.7
2025-05-12,25969.4
2025-05-13,25971.4
2025-05-14,25959.4
2025-05-15,25931.8
2025-05-16,25936.6
2025-05-17,25921.5
2025-05-18,25921.5
2025-05-19,25927.2
2025-05-20,25945.5
