Date,Rate
2020-05-07,23424.5
2020-05-08,23427.5
2020-05-09,23378.5
2020-05-10,23378.5
2020-05-11,23378.5
2020-05-12,23324.5
2020-05-13,23335.0
2020-05-14,23347.5
2020-05-15,23375.0
2020-05-16,23357.5
2020-05-17,23357.5
2020-05-18,23357.5
2020-05-19,23339.5
2020-05-20,23300.0
2020-05-21,23272.5
2020-05-22,23277.5
2020-05-23,23269.5
2020-05-24,23269.5
2020-05-25,23269.5
2020-05-26,23313.0
2020-05-27,23324.0
2020-05-28,23326.5
2020-05-29,23310.0
2020-05-30,23281.5
2020-05-31,23281.5
2020-06-01,23281.5
2020-06-02,23265.0
2020-06-03,23256.5
2020-06-04,23262.0
2020-06-05,23265.5
2020-06-06,23260.0
2020-06-07,23260.0
2020-06-08,23260.0
2020-06-09,23257.5
2020-06-10,23207.5
2020-06-11,23200.0
2020-06-12,23216.5
2020-06-13,23207.0
2020-06-14,23207.0
2020-06-15,23207.0
2020-06-16,23222.5
2020-06-17,23215.0
2020-06-18,23197.5
2020-06-19,23213.0
2020-06-20,23220.0
2020-06-21,23220.0
2020-06-22,23220.0
2020-06-23,23212.5
2020-06-24,23214.0
2020-06-25,23205.0
2020-06-26,23209.0
2020-06-27,23211.0
2020-06-28,23211.0
2020-06-29,23211.0
2020-06-30,23200.5
2020-07-01,23205.5
2020-07-02,23204.0
2020-07-03,23203.0
2020-07-04,23201.0
2020-07-05,23201.0
2020-07-06,23201.0
2020-07-07,23202.5
2020-07-08,23200.0
2020-07-09,23189.0
2020-07-10,23185.5
2020-07-11,23181.0
2020-07-12,23181.0
2020-07-13,23181.0
2020-07-14,23180.0
2020-07-15,23182.0
2020-07-16,23184.0
2020-07-17,23185.0
2020-07-18,23192.0
2020-07-19,23192.0
2020-07-20,23192.0
2020-07-21,23189.0
2020-07-22,23181.5
2020-07-23,23185.0
2020-07-24,23181.0
2020-07-25,23180.0
2020-07-26,23180.0
2020-07-27,23180.0
2020-07-28,23181.5
2020-07-29,23180.0
2020-07-30,23180.0
2020-07-31,23177.5
2020-08-01,23180.0
2020-08-02,23180.0
2020-08-03,23180.0
2020-08-04,23177.5
2020-08-05,23176.5
2020-08-06,23175.0
2020-08-07,23174.0
2020-08-08,23176.5
2020-08-09,23176.5
2020-08-10,23176.5
2020-08-11,23177.5
2020-08-12,23175.0
2020-08-13,23176.0
2020-08-14,23174.5
2020-08-15,23174.5
